iter	Passed	Remaining
437	1384	1760
438	1387	1756
439	1390	1753
440	1393	1751
441	1397	1748
442	1400	1744
443	1402	1741
444	1405	1737
445	1408	1734
446	1411	1730
447	1414	1727
448	1417	1724
449	1420	1720
450	1425	1719
451	1428	1715
452	1431	1712
453	1434	1709
454	1438	1706
455	1441	1703
456	1444	1700
457	1447	1697
458	1451	1694
459	1454	1691
460	1457	1688
461	1460	1684
462	1463	1681
463	1466	1678
464	1469	1674
465	1472	1671
466	1475	1667
467	1477	1664
468	1480	1660
469	1484	1657
470	1487	1654
471	1490	1651
472	1493	1647
473	1496	1645
474	1500	1642
475	1503	1639
476	1506	1636
477	1510	1633
478	1513	1630
479	1517	1627
480	1520	1624
481	1523	1621
482	1526	1618
483	1529	1615
484	1532	1611
485	1535	1608
486	1539	1605
487	1542	1602
488	1545	1599
489	1548	1596
490	1552	1593
491	1555	1590
492	1558	1587
493	1562	1584
494	1565	1581
495	1569	1578
496	1572	1575
497	1575	1572
498	1579	1569
499	1582	1566
500	1585	1563
501	1589	1560
502	1592	1557
503	1595	1554
504	1598	1551
505	1601	1548
506	1604	1544
507	1608	1541
508	1611	1538
509	1614	1535
510	1618	1532
511	1621	1529
512	1624	1526
513	1627	1523
514	1631	1520
515	1634	1517
516	1637	1514
517	1640	1511
518	1646	1510
519	1650	1507
520	1654	1505
521	1658	1502
522	1661	1499
523	1665	1497
524	1668	1493
525	1672	1491
526	1676	1488
527	1679	1485
528	1682	1482
529	1685	1479
530	1689	1476
531	1692	1472
532	1695	1469
533	1698	1466
534	1702	1463
535	1705	1460
536	1709	1457
537	1712	1454
538	1716	1451
539	1719	1448
540	1722	1445
541	1725	1442
542	1728	1439
543	1732	1436
544	1735	1432
545	1738	1429
546	1742	1426
547	1745	1423
548	1748	1420
549	1751	1417
550	1755	1414
551	1758	1411
552	1761	1408
553	1764	1404
554	1768	1401
555	1771	1399
556	1775	1395
557	1778	1392
558	1782	1389
559	1785	1386
560	1788	1383
561	1791	1380
562	1794	1377
563	1798	1374
564	1801	1371
565	1805	1368
566	1808	1365
567	1812	1362
568	1815	1359
569	1818	1356
570	1822	1353
571	1825	1349
572	1828	1346
573	1831	1343
574	1835	1340
575	1839	1337
576	1842	1334
577	1846	1332
578	1850	1329
579	1853	1326
580	1857	1323
581	1860	1320
582	1863	1316
583	1866	1313
584	1869	1310
585	1872	1307
586	1875	1303
587	1878	1300
588	1881	1296
589	1884	1293
590	1887	1290
591	1890	1286
592	1893	1283
593	1896	1279
594	1899	1276
595	1902	1273
596	1905	1270
597	1908	1266
598	1910	1263
599	1913	1259
600	1916	1256
601	1919	1253
602	1922	1249
603	1925	1246
604	1928	1243
605	1931	1239
606	1934	1236
607	1938	1233
608	1941	1230
609	1944	1227
610	1947	1224
611	1950	1220
612	1953	1217
613	1956	1213
614	1959	1210
615	1962	1207
616	1965	1204
617	1968	1200
618	1971	1197
619	1974	1194
620	1977	1190
621	1980	1187
622	1983	1184
623	1986	1180
624	1989	1177
625	1992	1174
626	1995	1171
627	1998	1167
628	2002	1164
629	2005	1161
630	2008	1158
631	2011	1155
632	2014	1151
633	2017	1148
634	2019	1145
635	2022	1141
636	2025	1138
637	2028	1135
638	2031	1132
639	2035	1128
640	2037	1125
641	2041	1122
642	2044	1119
643	2047	1115
644	2050	1112
645	2053	1109
646	2056	1106
647	2060	1103
648	2063	1100
649	2066	1097
650	2070	1093
651	2073	1090
652	2076	1087
653	2079	1084
654	2082	1081
655	2085	1077
656	2088	1074
657	2092	1071
658	2095	1068
659	2099	1065
660	2102	1062
661	2104	1058
662	2107	1055
663	2110	1052
664	2113	1048
665	2116	1045
666	2119	1042
667	2122	1039
668	2125	1035
669	2129	1032
670	2132	1029
671	2135	1026
672	2138	1022
673	2141	1019
674	2144	1016
675	2147	1013
676	2150	1010
677	2153	1006
678	2155	1003
679	2159	1000
680	2162	997
681	2165	993
682	2168	990
683	2171	987
684	2174	983
685	2176	980
686	2179	977
687	2182	973
688	2185	970
689	2188	967
690	2191	964
691	2195	961
692	2198	957
693	2201	954
694	2203	951
695	2206	948
696	2209	944
697	2212	941
698	2216	938
699	2219	935
700	2223	932
701	2226	929
702	2229	925
703	2232	922
704	2235	919
705	2238	916
706	2241	912
707	2244	909
708	2247	906
709	2250	903
710	2254	900
711	2258	897
712	2261	894
713	2264	891
714	2267	887
715	2270	884
716	2273	881
717	2276	878
718	2279	874
719	2281	871
720	2284	868
721	2288	865
722	2291	861
723	2294	858
724	2296	855
725	2299	852
726	2302	848
727	2305	845
728	2308	842
729	2311	839
730	2314	835
731	2317	832
732	2320	829
733	2323	826
734	2326	823
735	2329	819
736	2332	816
737	2336	813
738	2339	810
739	2342	807
740	2345	804
741	2348	800
742	2352	797
743	2356	794
744	2359	791
745	2362	788
746	2366	785
747	2368	782
748	2371	779
749	2375	775
750	2378	772
751	2381	769
752	2384	766
753	2387	763
754	2390	760
755	2394	756
756	2397	753
757	2400	750
758	2403	747
759	2406	744
760	2409	740
761	2412	737
762	2416	734
763	2419	731
764	2422	728
765	2425	725
766	2428	721
767	2431	718
768	2434	715
769	2437	712
770	2441	709
771	2444	706
772	2447	703
773	2451	699
774	2455	697
775	2459	693
776	2462	690
777	2466	687
778	2469	684
779	2472	681
780	2476	678
781	2479	675
782	2482	672
783	2486	669
784	2489	665
785	2492	662
786	2495	659
787	2498	656
788	2501	653
789	2504	649
790	2507	646
791	2511	643
792	2514	640
793	2517	637
794	2520	634
795	2523	630
796	2526	627
797	2529	624
798	2532	621
799	2536	618
800	2539	615
801	2543	612
802	2546	608
803	2549	605
804	2552	602
805	2555	599
806	2558	596
807	2561	592
808	2564	589
809	2568	586
810	2571	583
811	2574	580
812	2577	577
813	2580	573
814	2583	570
815	2586	567
816	2589	564
817	2593	561
818	2596	557
819	2599	554
820	2602	551
821	2605	548
822	2608	545
823	2611	542
824	2615	538
825	2618	535
826	2621	532
827	2624	529
828	2627	526
829	2630	522
830	2633	519
831	2637	516
832	2640	513
833	2644	510
834	2647	507
835	2650	504
836	2653	500
837	2672	500
838	2689	500
839	2698	497
840	2707	495
841	2714	493
842	2723	491
843	2727	487
844	2737	485
845	2744	483
846	2750	480
847	2756	477
848	2763	475
849	2769	472
850	2777	470
851	2782	467
852	2788	464
853	2792	461
854	2795	457
855	2799	454
856	2803	451
857	2806	448
858	2810	444
859	2813	441
860	2816	438
861	2819	435
862	2824	432
863	2830	429
864	2839	426
865	2843	423
866	2847	420
867	2851	417
868	2854	413
869	2858	410
870	2862	407
871	2866	404
872	2870	401
873	2874	397
874	2879	394
875	2882	391
876	2886	388
877	2889	385
878	2892	381
879	2896	378
880	2899	375
881	2902	371
882	2905	368
883	2908	365
884	2911	361
885	2915	358
886	2918	355
887	2921	351
888	2924	348
889	2928	345
890	2931	342
891	2935	338
892	2938	335
893	2941	332
894	2944	329
895	2947	325
896	2951	322
897	2954	319
898	2957	315
899	2961	312
900	2964	309
901	2967	305
902	2970	302
903	2973	299
904	2976	296
905	2979	292
906	2983	289
907	2986	286
908	2989	282
909	2992	279
910	2995	276
911	2998	272
912	3001	269
913	3004	266
914	3007	262
915	3010	259
916	3014	256
917	3017	253
918	3020	249
919	3023	246
920	3026	243
921	3030	239
922	3033	236
923	3036	233
924	3039	230
925	3043	226
926	3046	223
927	3050	220
928	3053	216
929	3057	213
930	3061	210
931	3064	207
932	3067	203
933	3071	200
934	3074	197
935	3077	193
936	3080	190
937	3083	187
938	3086	184
939	3090	180
940	3093	177
941	3096	174
942	3099	170
943	3102	167
944	3105	164
945	3108	161
946	3111	157
947	3114	154
948	3117	151
949	3121	147
950	3124	144
951	3127	141
952	3130	137
