iter	RMSE
164	0.4700308865
165	0.4693147608
166	0.4686891919
167	0.4675656814
168	0.4667435916
169	0.4661586731
170	0.4653211546
171	0.4644162526
172	0.4638069583
173	0.4631773242
174	0.4628359074
175	0.4619802421
176	0.4613634789
177	0.4609629842
178	0.4601698069
179	0.4597978517
180	0.4593414315
181	0.4586023641
182	0.4578627329
183	0.4575771298
184	0.4568616931
185	0.4564515785
186	0.4557141013
187	0.4550843368
188	0.4546361881
189	0.4542110286
190	0.4538030912
191	0.4532384435
192	0.4529375865
193	0.45238536
194	0.4522243355
195	0.4515685097
196	0.4508835763
197	0.4499873706
198	0.4491382963
199	0.4485981141
200	0.4480280329
201	0.4474855349
202	0.4466637307
203	0.4463019554
204	0.4456435036
205	0.4446192979
206	0.4441860155
207	0.4434958284
208	0.4429800992
209	0.4423869053
210	0.442101631
211	0.4416711537
212	0.4412686467
213	0.440571439
214	0.4397787628
215	0.4393065999
216	0.4388641428
217	0.438446114
218	0.4375833336
219	0.4371407565
220	0.4365192202
221	0.4360465339
222	0.435563599
223	0.4348744802
224	0.4343676783
225	0.4341134945
226	0.4334855589
227	0.4328855562
228	0.4321271077
229	0.4314457821
230	0.4309895097
231	0.4305582814
232	0.430181371
233	0.4297664891
234	0.4292442315
235	0.4289136404
236	0.4284020697
237	0.4277137334
238	0.4266751294
239	0.4258693384
240	0.4255887583
241	0.4252077111
242	0.4248622429
243	0.4243331603
244	0.4241361032
245	0.4235957535
246	0.4232812663
247	0.4226071513
248	0.4223374407
249	0.4216660195
250	0.421201661
251	0.4202896848
252	0.4198754676
253	0.4193501422
254	0.4185988968
255	0.4179875246
256	0.4173600384
257	0.4165930553
258	0.4158415919
259	0.4153625831
260	0.4148744896
261	0.414347803
262	0.4139320824
263	0.4134183097
264	0.4127474016
265	0.4122802059
266	0.4119080096
267	0.4114158439
268	0.4109360193
269	0.410426274
270	0.4098577978
271	0.409544881
272	0.4086973666
273	0.4079086351
274	0.4074012645
275	0.4067740423
276	0.406399514
277	0.4060152222
278	0.4056740833
279	0.4050526402
280	0.4048076966
281	0.4045096112
282	0.4037673294
283	0.4035472611
284	0.4031717117
285	0.4024203276
286	0.4019557716
287	0.4018080917
288	0.4014909209
289	0.4008514832
290	0.4003974679
291	0.3993693733
292	0.3991099559
293	0.3986518747
294	0.3980181789
295	0.3974268256
296	0.3970847718
297	0.3967362184
298	0.3960453928
299	0.3955049732
300	0.3947184924
301	0.3944515385
302	0.3939885898
303	0.3937120853
304	0.3934578464
305	0.3930807498
306	0.3928924507
307	0.3923387975
308	0.3920640189
309	0.3914955566
310	0.39121498
311	0.3908823478
312	0.3904569402
313	0.3900857645
314	0.3896425113
315	0.3889806113
316	0.3883337601
317	0.3879490228
318	0.3874294901
319	0.3871061069
320	0.3866709878
321	0.3863540409
322	0.3861795829
323	0.3856909185
324	0.385313578
325	0.3846219604
326	0.3843255568
327	0.3839426592
328	0.3836292636
329	0.3831627856
330	0.3829779155
331	0.3827673782
332	0.3822571339
333	0.3818029701
334	0.381627808
335	0.3812739534
336	0.3807462866
337	0.3802067997
338	0.3799223068
339	0.3791340854
340	0.37865098
341	0.3782052523
342	0.3777854167
343	0.3772279345
344	0.3770056425
345	0.376769218
346	0.3762691269
347	0.375818435
348	0.3756509353
349	0.3752049625
350	0.3745404722
351	0.3740704936
352	0.3736992093
353	0.3732868927
354	0.3729365273
355	0.372449035
356	0.371972517
357	0.371519912
358	0.371198019
359	0.370952929
360	0.3706969981
361	0.3703479806
362	0.369867532
363	0.3691574726
364	0.3689269308
365	0.3684208926
